Time,Throughput,LatencyP99,HeapUsed,GCTime,StartupTime,Mode
1,122304,2.40,298.20,17,2565,standard
2,135181,7.51,322.20,17,4729,standard
4,148668,7.56,322.20,17,5729,standard
5,68255,14.00,324.20,17,6234,standard
6,34625,11.71,324.20,17,6839,standard
6,41452,13.85,326.20,17,7361,standard
7,35094,13.03,326.20,17,7366,standard
8,41861,15.33,328.20,17,8073,standard
9,70400,10.06,328.20,17,9074,standard
10,67291,14.35,330.20,17,10072,standard
11,60399,22.53,330.20,17,11405,standard
12,56752,24.46,332.20,17,12074,standard
13,66416,17.96,332.20,17,13070,standard
14,58248,17.83,334.20,17,14069,standard
15,46771,53.46,334.20,17,15596,standard
16,52869,23.67,336.20,17,16123,standard
17,37236,20.50,336.20,17,17082,standard
18,44354,26.42,338.20,17,18071,standard
19,68632,12.81,338.20,17,19073,standard
20,61503,16.98,340.20,17,20146,standard
21,66494,13.72,342.20,17,21071,standard
22,70077,4.21,342.20,17,22073,standard
23,68489,9.52,344.20,17,23224,standard
24,69162,3.08,344.20,17,24071,standard
25,67147,8.91,346.20,17,25071,standard
26,70224,0.95,348.20,17,26070,standard
27,70132,4.32,348.20,17,27073,standard
28,56362,18.45,350.20,17,28071,standard
29,64220,7.35,350.20,17,29070,standard
30,56382,21.29,352.20,17,30615,standard
31,58097,12.58,354.20,17,31287,standard
32,59790,9.56,354.20,17,32070,standard
33,59173,15.64,356.20,17,33069,standard
34,60486,11.67,356.20,17,34464,standard
35,68042,7.49,358.20,17,35073,standard
36,67922,8.36,360.20,17,36070,standard
37,70303,8.31,360.20,17,37420,standard
38,67884,4.01,362.20,17,38073,standard
39,70393,5.36,362.20,17,39071,standard
40,69182,4.97,364.20,17,40070,standard
41,69472,5.69,366.20,17,41073,standard
42,65876,6.83,368.20,17,42071,standard
43,62712,12.28,370.20,17,43070,standard
44,65895,12.47,372.20,17,44071,standard
45,69254,5.35,374.20,17,45070,standard
46,61911,4.89,376.20,17,46072,standard
47,69581,10.10,380.20,17,47498,standard
48,65187,15.27,382.20,17,48075,standard
49,63880,9.10,384.20,17,49072,standard
50,65111,8.88,386.20,17,50072,standard
51,69626,5.99,388.20,17,51356,standard
52,62955,11.52,388.20,17,52070,standard
53,64984,6.04,390.20,17,53072,standard
54,59447,11.98,390.20,17,54074,standard
55,67591,9.78,392.20,17,55077,standard
56,66454,7.03,394.20,17,56070,standard
57,63420,0.58,394.20,17,57070,standard
58,70813,2.60,396.20,17,58071,standard
59,64515,5.36,402.20,17,59232,standard
60,64648,7.61,410.20,17,60072,standard
61,67527,7.22,418.20,17,61072,standard
62,65670,3.16,434.20,17,62103,standard
63,70541,1.72,450.20,17,63071,standard
64,66080,3.49,468.20,17,64073,standard
1,11899,200.73,2019.22,372,1242,tiered1
2,18584,233.13,85.14,884,2062,tiered1
3,17087,365.38,1095.09,1530,3090,tiered1
4,22894,236.87,1691.17,2121,4059,tiered1
5,24923,299.96,159.61,2710,5259,tiered1
6,29575,172.81,999.73,3135,6130,tiered1
7,13877,388.60,552.94,3692,7088,tiered1
8,19974,285.52,533.43,4436,8297,tiered1
9,24362,199.10,445.41,4903,9229,tiered1
10,18069,363.77,55.26,5438,10457,tiered1
11,8283,568.50,752.23,5944,11206,tiered1
12,10648,589.39,1111.16,6452,12253,tiered1
13,14177,521.22,90.35,7177,13369,tiered1
14,11837,554.07,111.15,7521,14068,tiered1
15,17184,286.12,135.43,8183,15262,tiered1
16,22523,374.48,254.01,8865,16430,tiered1
17,19062,393.53,49.47,9326,17187,tiered1
18,13011,480.20,1446.95,9916,18207,tiered1
19,18798,248.79,223.12,10516,19217,tiered1
20,13417,488.63,554.16,10985,20071,tiered1
21,19751,243.50,662.33,11617,21207,tiered1
22,23099,341.25,656.61,12166,22152,tiered1
23,19193,384.62,980.12,12776,23096,tiered1
24,23101,208.17,1412.31,13349,24131,tiered1
25,29479,165.00,703.56,14076,25560,tiered1
26,22585,216.78,364.77,14357,26117,tiered1
27,28155,201.14,2141.09,14881,27160,tiered1
28,26928,207.06,53.86,15574,28351,tiered1
29,14598,423.08,257.68,16029,29153,tiered1
30,19030,248.66,1070.33,16671,30295,tiered1
31,26755,176.38,1188.17,17042,31101,tiered1
32,24486,238.47,648.58,17701,32282,tiered1
33,17151,428.98,839.97,18187,33096,tiered1
34,13719,312.05,1649.89,18838,34361,tiered1
35,14791,435.42,1057.21,19338,35252,tiered1
36,22750,296.38,199.81,20038,36448,tiered1
37,11813,353.98,131.02,20665,37626,tiered1
38,4363,810.91,573.67,21494,38927,tiered1
39,10252,454.41,818.30,21561,39871,tiered1
40,8938,830.10,1322.62,21643,40066,tiered1
41,12796,325.12,623.78,22170,41236,tiered1
42,9175,663.51,1374.15,22672,42108,tiered1
43,7239,803.48,551.12,23204,43352,tiered1
44,6045,827.79,131.56,23824,44257,tiered1
45,12743,878.63,564.63,24102,45233,tiered1
46,8304,734.72,1463.33,24682,46290,tiered1
47,7902,641.66,2130.42,25335,47365,tiered1
48,9827,692.80,341.45,25888,48154,tiered1
49,19164,300.52,761.38,26455,49146,tiered1
50,17890,406.66,1470.74,27000,50104,tiered1
51,15957,437.50,2050.40,27750,51433,tiered1
